Title,Ranking,Initial release year,Casting,Rating
      12 Years a Slave,183,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1
      The General,184,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1
      The Deer Hunter,185,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1
      Wild Strawberries,186,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1
      Before Sunrise,187,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1
      In the Name of the Father,188,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1
      M,189,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1
      The Grand Budapest Hotel,190,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1
      Pather Panchali,191,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.1
      Room,192,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1
      Sherlock J,193,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1
      Hacksaw Ridge,194,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1
      How to Train Your Dragon,195,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1
      Memories of Murder,196,2003,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",8.1
      Le salaire de la peur,197,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1
      Barry Lyndon,198,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1
      The Seventh Seal,199,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1
      Klaus,200,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1
      The Big Lebowski,201,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1
      Mad Max: Fury Road,202,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1
      Wild Tales,203,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1
"      Monsters, In",204,2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.1
      Mary and Max,205,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1
      Jaws,206,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.1
      La passion de Jeanne d'Arc,207,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.1
      Hotel Rwanda,208,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.1
      Rocky,209,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.1
      Dead Poets Society,210,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1
